Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
107	-	Base	1	0.000837384	0.00234273	0.00150534	-	-39486.8	7746.03	3.45871e-07	91268	agefirstsex.baseline	Auto-ImpAll	7	Auto-ImpAll:7	0.0134214	0.0623917028029863
108	-	Base	1	0.00082912	0.00217647	0.00134735	-	-39082.8	7698.71	3.86591e-07	91211	agefirstsex.baseline	Auto-ImpAll	8	Auto-ImpAll:8	0.0178197	0.0465282804985494
109	-	Base	1	0.000938565	0.00295384	0.00201528	-	-41352.9	7660.77	6.78818e-08	91243	agefirstsex.baseline	Auto-ImpAll	9	Auto-ImpAll:9	0.0216992	0.0432534379147618
110	-	Base	1	0.00155662	0.00297198	0.00141537	-	-53634.8	7714.28	3.65537e-12	91177	agefirstsex.baseline	Auto-ImpAll	10	Auto-ImpAll:10	0.0139176	0.111845433120653
111	-	Base	1	0.000853453	0.00272458	0.00187112	-	-34306.8	6670.77	2.72254e-07	87048	agefirstsex.baseline	Soft-ImpOnly	1	Soft-ImpOnly:1	0.014712	0.0580106715606308
112	-	Base	1	0.000241037	0.00227046	0.00202942	-	-18411.8	6724.44	0.00618412	91307	agefirstsex.baseline	Soft-ImpOnly	2	Soft-ImpOnly:2	0.00835932	0.028834522425269
113	-	Base	1	0.000741256	0.00223847	0.00149722	-	-32935.8	6869.14	1.63632e-06	91294	agefirstsex.baseline	Soft-ImpOnly	3	Soft-ImpOnly:3	0.0131953	0.0561757595507491
114	-	Base	1	0.000381124	0.00155679	0.00117567	-	-23549.5	6853.62	0.000590999	91283	agefirstsex.baseline	Soft-ImpOnly	4	Soft-ImpOnly:4	0.0185556	0.020539567569898
115	-	Base	1	0.000186934	0.00140232	0.00121538	-	-16252.2	6756.03	0.0161526	91208	agefirstsex.baseline	Soft-ImpOnly	5	Soft-ImpOnly:5	0.0125915	0.0148460469364254
116	-	Base	1	0.000370708	0.00263272	0.00226201	-	-22868	6741.66	0.000694609	91315	agefirstsex.baseline	Soft-ImpOnly	6	Soft-ImpOnly:6	0.0147991	0.0250493611097972
117	-	Base	1	0.000369949	0.00187529	0.00150534	-	-23172	6840.46	0.000706211	91268	agefirstsex.baseline	Soft-ImpOnly	7	Soft-ImpOnly:7	0.0120474	0.0307077875724223
118	-	Base	1	0.000307428	0.00165478	0.00134735	-	-20924.7	6770.83	0.00200053	91211	agefirstsex.baseline	Soft-ImpOnly	8	Soft-ImpOnly:8	0.0172944	0.0177761587565917
119	-	Base	1	0.000390616	0.00240589	0.00201528	-	-23516	6754.72	0.000499452	91243	agefirstsex.baseline	Soft-ImpOnly	9	Soft-ImpOnly:9	0.0144259	0.027077409381737
120	-	Base	1	0.000698249	0.00211362	0.00141537	-	-31748.4	6820.93	3.26011e-06	91177	agefirstsex.baseline	Soft-ImpOnly	10	Soft-ImpOnly:10	0.0131877	0.0529469884816913
121	-	Base	1	0.00087302	0.00274414	0.00187112	-	-39553.5	7604.22	1.98925e-07	91279	agefirstsex.baseline	Soft-ImpAll	1	Soft-ImpAll:1	0.0189094	0.0461685722444922
122	-	Base	1	0.000493955	0.00252338	0.00202942	-	-29446.8	7511.73	8.87015e-05	91307	agefirstsex.baseline	Soft-ImpAll	2	Soft-ImpAll:2	0.0114536	0.0431266152126842
123	-	Base	1	0.000865787	0.002363	0.00149722	-	-39713	7663.34	2.20653e-07	91294	agefirstsex.baseline	Soft-ImpAll	3	Soft-ImpAll:3	0.0187658	0.0461364290357992
124	-	Base	1	0.000598552	0.00177422	0.00117567	-	-32780.7	7611.88	1.66354e-05	91283	agefirstsex.baseline	Soft-ImpAll	4	Soft-ImpAll:4	0.0256769	0.0233109137006414
125	-	Base	1	0.000312872	0.00152826	0.00121538	-	-23431.2	7528.51	0.00185785	91208	agefirstsex.baseline	Soft-ImpAll	5	Soft-ImpAll:5	0.0159356	0.0196335249378749
126	-	Base	1	0.000683556	0.00294557	0.00226201	-	-34635.3	7518.28	4.10525e-06	91315	agefirstsex.baseline	Soft-ImpAll	6	Soft-ImpAll:6	0.0210235	0.0325139011106619
127	-	Base	1	0.000497453	0.0020028	0.00150534	-	-29960.4	7626.67	8.57105e-05	91268	agefirstsex.baseline	Soft-ImpAll	7	Soft-ImpAll:7	0.014561	0.0341633816358767
128	-	Base	1	0.000449605	0.00179696	0.00134735	-	-28158.5	7533.87	0.000186123	91211	agefirstsex.baseline	Soft-ImpAll	8	Soft-ImpAll:8	0.0165858	0.0271078271774651
129	-	Base	1	0.000492431	0.00250771	0.00201528	-	-29366.2	7512.26	9.28389e-05	91243	agefirstsex.baseline	Soft-ImpAll	9	Soft-ImpAll:9	0.0205236	0.0239934027168723
130	-	Base	1	0.00108388	0.00249924	0.00141537	-	-43907.6	7569.94	6.68546e-09	91177	agefirstsex.baseline	Soft-ImpAll	10	Soft-ImpAll:10	0.0157192	0.0689526184538653
131	-	Base	1	0.000178304	0.00204943	0.00187112	-	3866.86	1645.55	0.0187853	91279	agefirstsex.baseline	LifetimeMDD	1	LifetimeMDD:1	0.00766083	0.0232747626562657
132	-	Base	1	0.000116631	0.00214606	0.00202942	-	3095.84	1625.55	0.0568563	91307	agefirstsex.baseline	LifetimeMDD	2	LifetimeMDD:2	0.0043487	0.0268197392324143
133	-	Base	1	0.000346993	0.00184421	0.00149722	-	5423.72	1653.64	0.00103971	91294	agefirstsex.baseline	LifetimeMDD	3	LifetimeMDD:3	0.00733339	0.0473168616424328
134	-	Base	1	0.000176169	0.00135184	0.00117567	-	3855.62	1650.61	0.0195044	91283	agefirstsex.baseline	LifetimeMDD	4	LifetimeMDD:4	0.0078922	0.0223219127746382
135	-	Base	1	3.52009e-05	0.00125059	0.00121538	-	1652.11	1582.78	0.296584	83708	agefirstsex.baseline	LifetimeMDD	5	LifetimeMDD:5	0.00776604	0.00453267044722922
136	-	Base	1	0.000262911	0.00252492	0.00226201	-	4647.63	1627.07	0.00428701	91315	agefirstsex.baseline	LifetimeMDD	6	LifetimeMDD:6	0.00928203	0.0283247306892996
137	-	Base	1	8.35838e-05	0.00158893	0.00150534	-	2667.32	1656.79	0.107423	91268	agefirstsex.baseline	LifetimeMDD	7	LifetimeMDD:7	0.00805612	0.010375193020958
