PRSPheno	SampleSize	pheno	meanp	meanratio	sdratio	meanr2	cvr2	meanthresh	meanlogp	sdthresh	sdlogp	sdsnp	meansnp	lower	upper
52	GPpsy	DS_100K	sibling.highbloodpressure	0.08185854987	0.0500512049326044	0.0663902672991244	0.00025748369	1.00698773490873	0.1753	1.51249387366083	0.305541795649775	1.10371198031734	43603.818197875	39285.1	-0.0800737189736793	0.180176128838888
53	GPpsy	DS_100K	sibling.nbrothers	0.01482681757382	0.0541382264790509	0.0609692241225251	0.0003057563	0.777644772490215	0.2751	0.972699872793626	0.314589838784832	0.853735978530133	45529.4115270558	60206	-0.0653614528010983	0.1736379057592
54	GPpsy	DS_100K	sibling.severedepression	0.0004655385016	0.22587430011137	0.0793615622928769	0.0014326966	0.310234540475336	0.3	0.699460496811329	0.285773803324704	0.431680954794747	37393.6572965404	68689.3	0.070325638017331	0.381422962205408
55	GPpsy	DS_100K	smokingexpoutside.baseline	0.2593384916	0.0155792103248101	0.016429533788395	0.000106978734	1.18561476006228	0.1954	1.6301029995664	0.321574667327305	1.23376115475829	48109.8180282477	41162.6	-0.0166226759004441	0.0477810965500642
56	GPpsy	DS_100K	sports.baseline	0.03264095504	0.0540246847250037	0.029265774898047	0.00036176367	0.703290880433848	0.295	0.734678748622466	0.293872610345216	0.467243364183576	39659.8054465167	66877.5	-0.00333623407516841	0.111385603525176
57	GPpsy	DS_100K	stress.closerelativedeath	0.137513362	0.0572329907030653	0.0548016150875275	0.00030797864	0.660270395313029	0.1203	1.52218487496164	0.137550839086257	1.06119469694117	33175.5011952428	36374	-0.0501781748684886	0.164644156274619
58	GPpsy	DS_100K	stress.finance	0.0179592705133	0.163947606743382	0.082489196574909	0.0011202503	0.662856276758519	0.155	0.904575749056068	0.0984603699182795	0.317620643127259	22366.2054917682	49310.9	0.00226878145656004	0.325626432030203
59	GPpsy	DS_100K	stressbinary	0.0013452246017	0.0992250872085782	0.0672361772524109	0.0005640114	0.373663101844937	0.225	0.869897000433602	0.292736134504172	0.427694545680464	37052.8384907583	54338	-0.0325578202061473	0.231007994623304
60	GPpsy	DS_100K	townsend	0.034453392106	0.0506230721390509	0.0316962563816745	0.00031732229	0.528652229868708	0.265	0.782390874094432	0.293494274030838	0.445518523324806	38076.1664598444	61877.5	-0.0115015903690311	0.112747734647133
61	GPpsy	DS_100K	trauma	0.00329030646206	0.34807575113224	0.22669572203538	0.0021459572	0.49327406668924	0.4051	0.872699872793626	0.436710036014236	0.932500086962614	55459.7787999956	71207.9	-0.0962478640571046	0.792399366321584
62	GPpsy	DS_100K	unabletowork.baseline	0.0008806173844	0.345954264328145	0.19515116141225	0.0020202841	0.354350228030276	0.325	0.606348625752111	0.26378652985574	0.354358524006925	31803.3657982925	75070.1	-0.0365420120398661	0.728450540696156
63	GPpsy	DS_100K	years.currenthousing.baseline	0.0469516676	0.0270121124405282	0.0133196611785947	0.00016463465	0.547257681648129	0.395	0.7	0.430406784333147	0.560253163639801	50713.2073265382	71995.3	0.000905576530482559	0.0531186483505738
64	GPpsy	DS_50K	abletoconfide.baseline	0.0882311353	0.081021412041358	0.130588542960745	0.00013816379	0.822604666163401	0.2252	1.2	0.3082840681363	1.01982657794951	43745.1259686278	50457.3	-0.174932132161703	0.336974956244419
65	GPpsy	DS_50K	agefirstsex.baseline	0.0891312746	0.0650564216049435	0.0592361482465743	0.0001611872	0.704576386770826	0.4651	0.709691001300806	0.402674517031643	0.916027443948341	50448.7257304109	83168.6	-0.0510464289583421	0.181159272168229
66	GPpsy	DS_50K	alcoholfreq.baseline	0.07836973391	0.13449997290787	0.264857925397832	0.00021445079	0.877490581893246	0.3952	0.969897000433602	0.375746900630376	1.14424296918186	53528.7144088728	73812.6	-0.384621560871881	0.65362150668762
67	GPpsy	DS_50K	alevels.baseline	0.13922262128	0.0802084852964868	0.0774781349868792	0.00022868806	1.05973498636216	0.1403	1.48239087409443	0.162672848243201	1.09299133054042	36393.0601876542	39308.4	-0.0716486592777964	0.23206562987077
68	GPpsy	DS_50K	averageatage10.baseline	0.11371921592318	0.207963562805694	0.475367255517521	0.00029608692	1.14611196758884	0.2251	0.974472749489669	0.179753194995558	0.818179601626503	37597.4165329954	58149.8	-0.723756258008648	1.13968338362004
69	GPpsy	DS_50K	college.baseline	0.04688036220831	0.11811511844301	0.117223272608833	0.00031151269	1.15361387864501	0.38	0.630102999566398	0.363776488153555	0.478652682719656	43982.9955833944	75486.6	-0.111642495870304	0.347872732756323
70	GPpsy	DS_50K	currentsmoking.baseline	0.07992671709	0.210872561428124	0.403309861410305	0.0003544127	0.903860110454582	0.2453	1.34948500216801	0.316365137143776	1.19984490156757	49248.2641057868	52104.9	-0.579614766936074	1.00135988979232
71	GPpsy	DS_50K	DepAll	0.00155590655802	1.141967772757	0.676370967992069	0.003381636	0.465421269226601	0.3101	0.796657624451305	0.276562410075315	0.818526392706076	36937.7183263335	70372.6	-0.183719324507458	2.46765487002145
72	GPpsy	DS_50K	educatedyrs	0.0566070526	0.184468485547385	0.189379695900435	0.00044765068	0.571145164815018	0.635	0.430102999566398	0.471433982652927	0.562019488319409	54185.9231577312	96845.7	-0.186715718417468	0.555652689512237
73	GPpsy	DS_50K	educationage.baseline	0.0674264224	0.0909507997248294	0.100757001340021	0.00023843819	0.561349593554375	0.32	0.730102999566398	0.379473319220205	0.442231105812201	44343.7324631866	64781.1	-0.106532922901612	0.288434522351271
74	GPpsy	DS_50K	eversmoked.baseline	0.0139825908	0.152695407909031	0.208070328759875	0.000347355	0.415798360164753	0.605	0.392081875395238	0.427167674598889	0.480244680601264	46282.1259572443	98802.7	-0.255122436460324	0.560513252278387
75	GPpsy	DS_50K	familyhappiness.baseline	0.04947513333	0.276271173034334	0.297755873532924	0.0006350308	0.806042519910861	0.1152	1.32218487496164	0.0941580232021326	0.910523105450511	25242.9694284699	37709.3	-0.307330339090197	0.859872685158865
76	GPpsy	DS_50K	father.age	0.091550872	0.207040474987658	0.19617939403181	0.0005250091	0.613513371025666	0.2552	1.13467874862247	0.305728928591617	1.05112124861691	44964.4873037477	56414.4	-0.17747113731469	0.591552087290006
77	GPpsy	DS_50K	father.severedepression	0.043601678	0.260007163200412	0.271668416089313	0.0005635205	0.377183717861178	0.2603	1.3397940008672	0.32273864555292	1.21704419156012	51069.3469966737	54123	-0.272462932334641	0.792477258735466
78	GPpsy	DS_50K	financehappiness.baseline	0.0139955246	0.308187018636066	0.261889079010742	0.0008103249	0.47417793582178	0.3251	0.9	0.380876314131854	0.860259408023072	47901.7660954861	64197.2	-0.205115576224989	0.821489613497121
79	GPpsy	DS_50K	getupmorning.baseline	0.03929912799	0.103237389806783	0.157169626033533	0.00021717868	0.731162775243487	0.275	0.722184874961636	0.286016705028842	0.381061026728698	35464.5436833278	64290	-0.204815077218942	0.411289856832507
80	GPpsy	DS_50K	GPpsy	8.1174926666171e-13	1.26921352554557	1.09322906682795	0.002921295	0.185712108983303	0.52	0.404575749056068	0.358391468152416	0.372615882701075	37988.2403647643	95461.3	-0.8735154454372	3.41194249652834
81	GPpsy	DS_50K	happiness.baseline	0.06316862666	0.362779844971474	0.303319758018794	0.00082374283	0.548708789895732	0.1551	1.0869666231505	0.11876255489187	0.749844237984061	28801.4522166659	46682.3	-0.231726880745363	0.95728657068831
82	GPpsy	DS_50K	healthhappiness.baseline	0.03843430058	0.274603234421817	0.254661932645217	0.0006635401	0.680083110695188	0.53	0.482390874094432	0.423739962188552	0.516342685477745	47772.9577323824	90761.5	-0.224534153562808	0.773740622406442
83	GPpsy	DS_50K	ICD10Dep	0.0228594218	0.371845494305121	0.241151255854667	0.0010236654	0.481976294001273	0.3901	0.890308998699194	0.442621094541746	0.915876994766138	55482.5928642889	68168.5	-0.100810967170026	0.844501955780269
84	GPpsy	DS_50K	ICD10Dep.exclpsych	0.071386274	0.31308936552983	0.184387894641962	0.0009643699	0.578223073975003	0.41	0.660205999132796	0.427395211328656	0.538084732234664	50431.5325504678	74155.5	-0.048310907968415	0.674489639028076
85	GPpsy	DS_50K	income.baseline	0.03569582619	0.144430859331775	0.171902296030189	0.00029815654	0.566210731726998	0.3152	1.01146387799685	0.294201669305635	1.09835602080403	45826.0804903835	67862	-0.192497640887396	0.481359359550946
86	GPpsy	DS_50K	insomnia.baseline	0.00385964770112	0.184435890827874	0.186792980613837	0.0004146338	0.55439587226921	0.48	0.456863623584101	0.376533899905145	0.381829072652617	39424.5196118129	89627.2	-0.181678351175246	0.550550132830993
87	GPpsy	DS_50K	LifetimeMDD	0.009021629745312	1	0	0.0037744582	0.627332100272324	0.3451	0.826760624017703	0.360795556144104	0.859888393021431	44561.6305401856	69883.2	1	1
88	GPpsy	DS_50K	maternalsmokingatbirth.baseline	0.0448034125	0.091429568130267	0.0486197749241922	0.0002784208	0.539259366614773	0.3001	0.882390874094432	0.300813877487208	0.851112934934334	42986.9264187768	65904.6	-0.00386519072114973	0.186724326981684
89	GPpsy	DS_50K	mother.age	0.2635452122	0.0766661843994089	0.0878349246808326	0.0002502812	1.27226041470227	0.2453	1.33187587626244	0.309261144593943	1.20334807480122	47971.8569399462	53013.6	-0.0954902679750231	0.248822636773841
