Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
81	-	Base	1	0.000437734	0.00112107	0.00068334	-	4819.4	1272.99	0.000153427	116103	abletoconfide.baseline	MTAG.Multitraits	1	MTAG.Multitraits:1	0.0134844	0.0324622526771677
82	-	Base	1	0.000140863	0.00109369	0.000952827	-	2712.78	1263.51	0.0317989	111248	abletoconfide.baseline	MTAG.Multitraits	2	MTAG.Multitraits:2	0.00596853	0.0236009536686588
83	-	Base	1	0.000941465	0.0018796	0.000938134	-	7051.98	1268.8	2.75048e-08	116103	abletoconfide.baseline	MTAG.Multitraits	3	MTAG.Multitraits:3	0.0209125	0.0450192468619247
84	-	Base	1	0.000509251	0.00170274	0.00119349	-	5155.05	1260.14	4.30834e-05	116103	abletoconfide.baseline	MTAG.Multitraits	4	MTAG.Multitraits:4	0.0255137	0.0199599038947703
85	-	Base	1	0.000277014	0.00111834	0.000841323	-	3521.19	1168.63	0.00258793	106880	abletoconfide.baseline	MTAG.Multitraits	5	MTAG.Multitraits:5	0.00707515	0.0391530921605902
86	-	Base	1	0.000646427	0.00224165	0.00159522	-	5677.57	1233.96	4.21847e-06	112754	abletoconfide.baseline	MTAG.Multitraits	6	MTAG.Multitraits:6	0.0171257	0.0377460191408234
87	-	Base	1	0.000569254	0.00127857	0.000709318	-	5472.06	1267.2	1.57759e-05	116103	abletoconfide.baseline	MTAG.Multitraits	7	MTAG.Multitraits:7	0.0156206	0.0364425182131288
88	-	Base	1	0.000323981	0.00132104	0.000997058	-	4159.17	1276.79	0.00112504	116103	abletoconfide.baseline	MTAG.Multitraits	8	MTAG.Multitraits:8	0.0225282	0.014381131204446
89	-	Base	1	0.000127154	0.00103467	0.000907514	-	2566.88	1257.75	0.041274	113372	abletoconfide.baseline	MTAG.Multitraits	9	MTAG.Multitraits:9	0.0194289	0.00654458049606514
90	-	Base	1	0.000465161	0.00175505	0.00128989	-	4821.3	1234.34	9.40357e-05	111159	abletoconfide.baseline	MTAG.Multitraits	10	MTAG.Multitraits:10	0.0157119	0.0296056492212909
